"Cheddar";"American_Other";"Mozzarella";"Italian_other";"Swiss";"Brick";"Muenster";"Cream_and_Neufchatel";"Other_Dairy_Cheese";"Processed_Cheese";"Foods_and_spreads";"Total_American_Cheese";"Total_Italian_Cheese";"Total_Natural_Cheese";"Total_Processed_Cheese_Products";"fluid_milk";"fluid_yogurt";"butter";"cheese_american";"cheese_other";"cheese_cottage";"evap_cnd_canned_whole_milk";"evap_cnd_bulk_whole_milk";"evap_cnd_bulk_and_can_skim_milk";"frozen_ice_cream_regular";"frozen_ice_cream_reduced_fat";"frozen_sherbet";"frozen_other";"dry_whole_milk";"dry_nonfat_milk";"dry_buttermilk";"dry_whey"
-1.90092052349443;-0.8167313799512;-1.43533908602112;-1.44691941122554;-0.530838804562454;1.22659622822779;-1.14266458691785;-1.51457486961784;-1.30588480883624;-1.59107470970416;0.517261360790553;-1.68681467832822;-1.44113304655813;-1.5269692286275;-0.919327641106228;1.5781496369936;-1.26697672162657;-0.182839572160425;-2.3219388207603;-1.81105622336542;1.7608712179168;2.78847608350533;1.56146070507474;-1.04639194108924;1.55718010917969;0.218335674943795;1.3643290097046;-0.701709769277004;-1.56905034718244;0.548121773588719;-0.489260051916695;-1.06315883339715
-1.6436186025948;-0.398244951764798;-1.37979686807715;-1.29349923916016;0.912487618300168;1.22659622822779;-1.04346832895503;-1.47245084043967;-1.41466496111415;-0.765550359214638;-0.956579228859243;-1.35174672861949;-1.36791922871992;-1.3704341869545;-1.16556403651658;1.5781496369936;-1.23067737019801;-0.871540947613574;-1.90727149707728;-1.71288093893308;1.81049897849222;2.56376925728932;1.0837684364899;-0.963778844480733;1.24928437843493;-0.583587346801364;1.45109390526807;-0.79257882636763;-0.830466837285739;1.00398264755422;-0.489260051916695;-0.779939033361715
-1.42397062133901;-0.423607765594277;-1.33814020461918;-1.2679292104826;0.551656012584512;0.60432301976101;-1.04346832895503;-1.43032681126149;-1.36027488497519;-0.780837847186667;0.284549688740585;-1.20027765546348;-1.32902438799337;-1.30983997727462;-0.415129307646938;1.48236009811452;-1.18538565290559;-0.903108387695368;-1.72137482583359;-1.68273613996404;1.79396703021882;1.8165851023247;0.747129539803946;-0.597757613383128;1.05935911247317;0.391768042088068;1.4056868662496;-0.825588823618889;-0.830466837285739;0.635398465580185;1.44560371875921;-0.779939033361715
-1.3361114288367;-0.208023848043707;-1.27704376488082;-1.12729405275601;1.63415082973148;0.9154596239944;-0.845075813029392;-1.30395472372697;-1.4690550372531;-0.841987799074779;0.284549688740585;-1.0533985542213;-1.25352263834772;-1.20380011033485;-0.473757020839879;1.38657055923544;-1.16113404103347;-0.802850818497655;-1.54536477071151;-1.57941294490979;1.77443112691285;1.6501597891793;0.389879912197514;-1.11715227566281;1.02478988709407;0.334177937489652;1.06555997075678;-0.90157028049836;-0.0918833273890352;0.248208402893199;-0.489260051916695;-0.779939033361715
-1.34238708544401;-0.106572592725791;-1.24371843411444;-1.0633689810621;1.81456663258931;0.293186415527618;-0.745879555066574;-1.23374800843001;-1.41466496111415;-0.857275287046807;0.0712306560281151;-1.02126875082457;-1.21462779762117;-1.16214159117994;-0.626189075141524;1.29078102035637;-1.16215924316954;-0.576091474479313;-1.50487970731255;-1.52889170945686;1.58609694397387;1.61041938830874;0.517009102817523;-1.29122067197226;0.871594433286512;-0.516259377711275;0.556654869321763;-0.965993329893387;-0.0918833273890352;0.586747345608926;-0.489260051916695;-0.355109333308558
-1.39886799490978;0.0329228833363424;-1.18539910527328;-1.0633689810621;1.54394292830257;0.60432301976101;-0.44829078117812;-1.14949995007366;-1.16990961848885;-0.658537943410442;0.0130527380156227;-1.01208880699693;-1.16886916147229;-1.11669593392003;-0.497208106117056;1.16306163518426;-1.14913195307894;-0.615459228388625;-1.49195601084189;-1.46309925992887;1.55698263858418;1.27725707132401;0.306539421848299;-1.35491226499409;0.966194805705699;-0.865777808673147;0.488309499633865;-1.00820589581506;-0.0918833273890352;0.077936760788778;-0.489260051916695;-0.355109333308558
-1.27963051937093;0.464090718437484;-1.19928465975927;-0.999443909368194;1.092903421158;0.293186415527618;-0.646683297103756;-1.09333457783609;-0.734789009377219;-1.16302504648737;0.11001593470311;-0.768820295564563;-1.16658122966484;-1.03337889561021;-0.825523299997524;1.03534225001216;-1.16407597583078;-0.995938247007269;-1.19311732378567;-1.43810860769761;1.39974007332287;1.42979985657601;0.908681031029786;-1.51231909094379;0.900401458144051;-1.13234842208441;0.503549300040304;-0.785806011262806;0.646700182507669;-1.54614216659204;-0.489260051916695;-0.355109333308558
-0.219044552735851;-0.220705254958446;-1.12152555463772;-0.909948808996725;1.27331922401582;0.293186415527618;-0.547487039140938;-0.981003833360959;-0.408448552543493;0.411586214631526;0.400905524765569;-0.236383553561641;-1.08879154821174;-0.816249644257339;0.558090731355878;0.843763172254004;-1.13127259028867;-0.808269698257496;-0.541543256109964;-1.32728738985119;1.27520948275527;1.22386470781196;1.21108598594548;-1.68881414130055;1.02662746098663;-1.77954038005407;0.418915013491906;-0.77071806172444;0.646700182507669;-1.59121738953539;-0.489260051916695;-0.0718895332731197
0.0257060549491656;-0.322156510276362;-1.0048868969554;-0.846023737302818;0.912487618300168;0.293186415527618;-0.547487039140938;-0.938879804182784;-0.707593971307741;1.06894819742873;0.459083442778061;-0.0986843961470932;-0.976682889646986;-0.732932605947516;1.09746569273093;0.811833325960978;-1.00484717907769;0.113565130889298;-0.372093326525854;-1.25691714965567;1.19379355738156;1.09352796056934;0.957171106656048;-1.55722568646379;1.26386552295231;-1.2083126659931;0.664616995840599;-0.772470269077748;0.646700182507669;-1.37550558648093;-0.489260051916695;0.211330266762319
0.295559289063415;-0.563103241656411;-0.904910904656265;-0.679818550898661;0.822279716871254;0.60432301976101;-0.349094523215302;-0.910797118064001;-0.381253514474016;0.105836455190963;0.420298164103066;0.0114749297845459;-0.864574231082227;-0.618056083429426;0.335305421222703;0.843763172254004;-0.917684715251175;0.228904689342592;-0.233686766290393;-1.12679716185198;1.18733813247873;0.780386221121521;1.39853041288318;-0.832914841334928;1.3205293631244;-1.09686533804326;0.57109052934776;-0.717283455461306;0.646700182507669;-0.842291105522711;-0.489260051916695;0.352940166780038
